Source,Target
write a Python program to get the largest number from a list,"""\ndef max_num_in_list(list) : \n\tmax = list[0]\n\tfor a in list : \n\t\tmax = a if a > max else max\n\treturn max\nprint(f'max_num_in_list [1, 10, -8, 0], Ans : {max_num_in_list([1, 10, -8, 0])}')"""
write a Python program to remove duplicates from a list,"""\na = [10,20,30,20,10,50,60,40,80,50,40]\ndup_items = set()\nuniq_items = []\nfor x in a : \n\tif x not in dup_items : \n\t\tuniq_items.append(x)\n\t\tdup_items.add(x)\nprint(f'dup_items : {dup_items}')"""
write a Python program to flatten a shallow list,"""\nimport itertools\noriginal_list = [[2,4,3],[1,5,6], [9], [7,9,0], [1,2,3,4]]\nnew_merged_list = list(itertools.chain(*original_list))\nprint(f'merged list/flatten : {new_merged_list}')"""
write a Python program to create multiple list,"""\nobj = {}\nfor i in range(1, 11) : \n\tobj[str(i)] = []\nprint(f'create multiple list : {obj}')"""
write a Python program to merge two dictionaries,"""\nd1 = {'a' :  100, 'b' :  200}\nd2 = {'x' :  300, 'y' :  200}\nd = d1.copy()\nd.update(d2)\nprint(f'merge two dictionaries : {d}')"""
write a Python program to Sum all the items in a dictionary,"""\nmy_dict = {'data1' : 100,'data2' : -54,'data3' : 247}\nprint(f'Sum all the items in a dictionary : {sum(my_dict.values())}')"""
write a python program to Get the maximum and minimum value in a dictionary,"""\nmy_dict = {'x' : 500, 'y' : 5874, 'z' :  560}\nkey_max = max(my_dict.keys(), key=(lambda k :  my_dict[k]))\nkey_min = min(my_dict.keys(), key=(lambda k :  my_dict[k]))\nprint('Maximum Value in a dictionary :  ',my_dict[key_max])\nprint('Minimum Value in a dictionary :  ',my_dict[key_min])"""
write a python program to do nothing for a condition,'\nif 1 + 1 == 2 : \n\tpass # Nothing'
write a python program to make use of enumerate method,"'\nfor count, value in enumerate(obj) : \n\tprint(count, value)'"
write a python program to make use of setdefault for missing dictionary keys,"""\na_dict = {'a' : 1}\na_dict.setdefault('b',2)\nprint(f'After appending with new value : {a_dict}')"""
write a python program to make use of maps,"""\ndef square(number) : \n\treturn number ** 2\nnumbers = [1, 2, 3, 4, 5]\nsquared = map(square, numbers)\nprint(f'mapped numbers : {list(squared)}')"""
write a python program to make use of modulo operator,"""\nprint(f'modulo 15 % 4 :  Sol->{15 % 4}')"""
write a python program to explain enclosing and global scope,"""\nx = 'global'\ndef f() : \n\tx = 'enclosing'\n\tdef g() : \n\t\tprint(x)\n\tg()\n\treturn x\nobj1 = f()\nprint('explain global scope : ',obj1)"""
write a python program to expain local and global scope,"""\ndef f1() : \n\tx = 'enclosing'\n\tdef g() : \n\t\tx = 'local'\n\t\treturn x\n\tx=g()\n\treturn x\nobj2 = f1()\nprint('explain local scope : ',obj2)"""
write a python program to make use of regular expression for matching,"""\nimport re\nprint('Find the characters in the given string : ',re.findall(r'[a-z]+', '123FOO456', flags=re.IGNORECASE))"""
write a python program to make use of regular expression for matching,"""\ns = 'foo123bar'\nm = re.findall('123', s)\nprint('find the number position : ',m)"""
write a python program to convert lower string to UPPERCASE,"""\na = 'string'\nprint(f'convert lowercase to uppercase : {a.upper()}')"""
write a python program to convert uppercase string to lower,"""\na = 'STRING'\nprint(f'convert lowercase to uppercase : {a.lower()}')"""
write a Python Program to Find the Square Root,"""\nnum = 8 \nnum_sqrt = num ** 0.5\nprint('The square root of %0.3f is %0.3f'%(num ,num_sqrt))"""
write a Python Program to Convert Kilometers to Miles,"""\nkilometers = 10.0\nconv_fac = 0.621371\nmiles = kilometers * conv_fac\nprint('%0.2f kilometers is equal to %0.2f miles' %(kilometers,miles))"""
write a Python Program to Convert Celsius To Fahrenheit,"""\ncelsius = 37.5\nfahrenheit = (celsius * 1.8) + 32\nprint('%0.1f degree Celsius is equal to %0.1f degree Fahrenheit' %(celsius,fahrenheit))"""
"write a Python Program to Check if a Number is Positive, Negative or 0","'\nnum = 10\nif num > 0 : \n\tprint(""Positive number"")\nelif num == 0 : \n\tprint(""Zero"")\nelse : \n\tprint(""Negative number"")'"
Python Program to Check if a Number is Odd or Even,"'\nnum = 100\nif (num % 2) == 0 : \n\tprint(""{0} is Even"".format(num))\nelse : \n\tprint(""{0} is Odd"".format(num))'"
Python Program to Display the multiplication Table,"""\nnum = 12\nfor i in range(1, 11) : \n\tprint(num, 'x', i, '=', num*i)"""
write a program for Rolling the dices,"'\nimport random\nmin = 1\nmax = 6\nprint(""Rolling the dices...and the values are"",random.randint(min, max))\nprint(""Rolling the dices...and the values are"",random.randint(min, max))'"
write a python program to calculate the average,"'\nlist1 = [1,3,4,5]\naverage = (sum(list1)) / len(list1)\nprint(f""the average score is :   {average} "")'"
write a python program to print reverse list,"""\nprint(f'reverese the given list elements : {list1[ :  : -1]}')"""
write a python program for creating the thread,"'\nimport threading\nfrom threading import Thread\nimport time\ndef print_time( threadName, delay) : \n\tcount = 0\n\twhile count < 5 : \n\t\ttime.sleep(delay)\n\t\tcount += 1\n\t\tprint(""%s :  %s"" % ( threadName, time.ctime(time.time()) ))\n# try : \n#     Thread(target=print_time, args=(""Thread-1"", 2, )).start() \n#     Thread(target=print_time, args=(""Thread-1"", 4, )).start() \n# except : \n#     print(""Error :  unable to start thread"")'"
write a python program to check a num is less than 1000,"""\ndef near_thousand(n) : \n\t\t return ((abs(1000 - n) <= 100) or (abs(2000 - n) <= 100))\nprint('near to 1000',near_thousand(1000))\nprint('near to 1300',near_thousand(1300))"""
write a python program to convert lower case to upper for list of elements,"""\nx = ['ab', 'cd']\nfor i in x : \n\tprint(i.upper())"""
write a python program to break when the num is perfectly divisible,'\ni = 1\nwhile True : \n\tif i%3 == 0 : \n\t\tbreak\n\tprint(i)\n\ti+= 1'
write a python program to check name exists in given list,"""\nnames1 = ['Amir', 'Bala', 'Chales']\nfor n in names1 : \n\tname = n.lower()\n\tif 'amir' == name : \n\t\tprint('Yes name exists : ',name)\n\telse : \n\t\tprint('No')"""
write a python program to print a matrix as output,"'\nmatrix = [[1, 2, 3, 4],\n\t\t[4, 5, 6, 7],\n\t\t[8, 9, 10, 11],\n\t\t[12, 13, 14, 15]]\nfor i in range(0, 4) : \n\tprint(matrix[i][1], end = "" "")'"
write a python program to calculate the time taken,"""\nfrom time import localtime\nactivities = {8 :  'Sleeping',\n\t\t\t\t9 :  'Commuting',\n\t\t\t\t17 :  'Working',\n\t\t\t\t18 :  'Commuting',\n\t\t\t\t20 :  'Eating',\n\t\t\t\t22 :  'Resting' }\ntime_now = localtime()\nhour = time_now.tm_hour\nfor activity_time in sorted(activities.keys()) : \n\tif hour < activity_time : \n\t\tprint (activities[activity_time])\n\t\tbreak\nelse : \n\tprint ('Unknown, AFK or sleeping!')"""
write a python program to search a key in the text file,"'\nfname = \'sample.txt\'\nl=\'keyword\' # Enter letter to be searched\nk = 0\nwith open(fname, \'r\') as f : \n\tfor line in f : \n\t\twords = line.split()\n\t\tfor i in words : \n\t\t\tif(i==l) : \n\t\t\t\tk=k+1\nprint(""Occurrences of the letter : "",k)'"
write a python program to expalin list comprehension and print alternative values,"'\nt = (1, 2, 4, 3, 8, 9)\nprint([t[i] for i in range(0, len(t), 2)])'"
write a python program to sort tuple values,"'\na=(2,3,1,5)\ntuple_sorted = sorted(a)\nprint(tuple(tuple_sorted))'"
write a python program to multiple two list values,"""\nl1=[1,2,3]\nl2=[4,5,6]\nprint('multiply two list values : ',[x*y for x in l1 for y in l2])"""
write the list comprehension to pick out only negative integers from a given list ‘l’.,"""\nl1=[1,2,3,-4,-8]\nprint('negative integers : ', [x for x in l1 if x<0])"""
write a python program to convert all list elements to upper case,"'\ns=[""pune"", ""mumbai"", ""delhi""]\nprint([(w.upper(), len(w)) for w in s])'"
write a python program to expalin python zip method,"'\nl1=[2,4,6]\nl2=[-2,-4,-6]\nfor i in zip(l1, l2) : \n\tprint(i)'"
write a python program to add two list using python zip method,"""\nl1=[10, 20, 30]\nl2=[-10, -20, -30]\nl3=[x+y for x, y in zip(l1, l2)]\nprint('added two list : ',l3)"""
write a list comprehension for number and its cube,"'\nl=[1, 2, 3, 4, 5, 6, 7, 8, 9]\nprint([x**3 for x in l])'"
write a list comprehension for printing rows into columns and vv,"'\nl=[[1 ,2, 3], [4, 5, 6], [7, 8, 9]]\nprint([[row[i] for row in l] for i in range(3)])'"
write a list comprehension for printing rows into columns and vv,"'\ndef unpack(a,b,c,d) : \n\tprint(a+d)\nx = [1,2,3,4]\nunpack(*x)'"
write a python program to use python lambda function,'\nlamb = lambda x :  x ** 3\nprint(lamb(5))'
write a python program to multiply a string n times,"""\na = 'python'\nprint(a*5)"""
write a python to check two numbers are greater than or equal or less than,"""\ndef maximum(x, y) : \n\tif x > y : \n\t\treturn x\n\telif x == y : \n\t\treturn 'The numbers are equal'\n\telse : \n\t\treturn y\nprint(maximum(2, 3))"""
write a python to dict to zip and print as dictionary elements in original form,"'\na={""a"" : 1,""b"" : 2,""c"" : 3}\nb=dict(zip(a.values(),a.keys()))\nprint(b)'"
write a python program to delete an dictionary element,"'\na={1 : 5,2 : 3,3 : 4}\na.pop(3)\nprint(a)'"
write a python program to check two dictionary are equal or not,"'\nd1 = {""john"" : 40, ""peter"" : 45}\nd2 = {""john"" : 466, ""peter"" : 45}\nd1 == d2'"
write a python program to print only dictionary keys as list,"'\nd = {""john"" : 40, ""peter"" : 45}\nprint(list(d.keys()))'"
write a python program to check two lists are equal or not,"'\na=[1, 4, 3, 5, 2]\nb=[3, 1, 5, 2, 4]\nprint(a==b)'"
write a python program to check two lists are equal or not,"'\na=frozenset(set([5,6,7]))\nprint(a)'"
write a python program to sum the set of unqiue elements,"'\na={5,6,7}\nprint(sum(a,5))'"
write a python program to implement try catch code,"'\ntry : \n\ts={5,6}\n\ts*3\nexcept Exception as e : \n\tprint(e)'"
write a python program to count the len of unique elements,"'\nnums = set([1,1,2,3,3,3,4,4])\nprint(len(nums))'"
write a python program to split in python,"""\nprint('abcdefcdghcd'.split('cd', 2))"""
write a python program to add title to string,"""\nprint('ab cd-ef'.title())"""
write a python program to print equal lenght of string,"""\nprint('ab'.zfill(5))"""
write a python program to use string replace,"""\nprint('abcdef12'.replace('cd', '12'))"""
write a python program to check string istitle,"""\nstr1 = 'Hello!2@#World'\nif str1.istitle() : \n\tprint('Yes string is title')"""
write a python program to do lstrip on string,"""\nprint('xyyzxxyxyy'.lstrip('xyy'))"""
write a python program to check identifier/keyword,"""\nprint('for'.isidentifier())"""
write a python program to check is an num/int,"""\nprint('11'.isnumeric())"""
write a python program to check is an variable is printable,"""\nprint('1@ a'.isprintable())"""
write a python program to check it contains any space,"""\nprint(''''''.isspace())"""
write a python program to check is an title,"""\nprint('HelloWorld'.istitle())"""
write a python program to check is all are num/int,"""\nprint('ab,12'.isalnum())"""
write a python program to check is all are alphanumeric,"""\nprint('ab'.isalpha())"""
write a python program to check is all are digit,"""\nprint('0xa'.isdigit())"""
write a python program to use f string,"""\nvar1 = 'python language'\nprint(f'f-string is an good feature in {var1}')"""
write a python program to iterate an dict and concatenate,"""\nD=dict(p='san', q='foundry')\nprint('{p}{q}'.format(**D))"""
write a python program to replace blank space to 1,"""\na='1 0 0 1'\nprint(a.replace(' ', '1'))"""
write a python program to explain the generator,'\ndef f11(x) : \n\tyield x+1\ng=f11(8)\nprint(next(g))'
write a python program to replace blank space to 1,"'\ndef f12(x) : \n\tyield x+1\n\tprint(""test"")\n\tyield x+2\ng=f12(9)\nprint(next(g))'"
write a python program to replace blank space to 1,"""\na = re.compile('[0-9]')\nz= a.findall('3 trees')\nprint(z)"""
write a python program to print current working directory,'\nimport os\nprint(os.getcwd())'
write a python program to print the ascii value of a string,"""\nprint([ord(ch) for ch in 'abc'])"""
write a python program to use extend in list/ append to a list,"'\na=[13,56,17]\na.append([87])\na.extend([45,67])\nprint(a)'"
write a python program to replace blank space to 1,"'\nmy_string = \'balaji\'\nk = [print(i) for i in my_string if i not in ""aeiou""]\nprint(\'Not a vowel\',k)'"
write a python program to add and square a range of number,'\nx = [i**+1 for i in range(3)]; print(x)'
write a python program to replace blank space to 1,"'\nprint([i+j for i in ""abc"" for j in ""def""])'"
write a python program to multiply two list with list comprehensive,"'\nl1=[1,2,3]\nl2=[4,5,6]\nprint([x*y for x in l1 for y in l2])'"
write a python program to print only digit or only apha charac in a given list,"'\nl=[""good"", ""oh!"", ""excellent!"", ""#450""]\nprint([n for n in l if n.isalpha() or n.isdigit()])'"
write a python program to print todays date,'\ntday=datetime.date.today()\nprint(tday)'
write a python program to check tuple are immutable,"'\na=(1,2,3)\ntry : \n\ta = a+1\nexcept Exception as e : \n\tprint(e)'"
write a python program to calculate factorial sum using list comprehensive,"'\nimport functools \nn =5\nprint(functools.reduce(lambda x, y :  x * y, range(1, n+1)))'"
write a python program to print len of each characters,"""\nwords = ['cat', 'window', 'defenestrate']\nfor w in words : \n\tprint(w, len(w))"""
write a python program to make increment on each call of method using lambda function,'\ndef make_incrementor(n) : \n\treturn lambda x :  x + n\nf = make_incrementor(42)\nf(0)\nprint(f(1))'
write a python program to sort using list comprehensive,"""\npairs = [(1, 'one'), (2, 'two'), (3, 'three'), (4, 'four')]\npairs.sort(key=lambda pair :  pair[1])\nprint(pairs)"""
write a python program to del the first element of the array/list,"'\na = [-1, 1, 66.25, 333, 333, 1234.5]\ndel a[0]\nprint(a)'"
write a python program to replace the first character of a given word,"'\nword = ""goal""\nword = ""f"" + word[1 : ]\nprint(word)'"
write a python program to find a string in a given phrase,"'\nphrase = ""the surprise is in here somewhere""\nprint(phrase.find(""surprise""))'"
write a python program to expalin the use of f-string,"'\nn = 3\nm = 4\nprint(f""{n} times {m} is {n*m}"")'"
write a python program to explain the use of assert,"""\nx=1\ny=8\nassert x>y, 'X too small'"""
write a python program to multiply three numbers,"""\nnum1 = 1.5\nnum2 = 6.3\nnum3 = -2.3\nproduct = num1 * num2 * num3\nprint(f'Product :  {product}')"""
"write a python function that when given two numbers, would divide the first number by second number and return the quotient and remainder","'\ndef divide_first_number_by_second(num1, num2) : \n\treturn (num1 // num2), (num1 % num2)'"
write a python function to return the largest and smallest numbers in the given list and return None if the list is empty,"'\ndef largest_and_smallest(list_of_nums) : \n\tif list_of_nums : \n\t\treturn max(list_of_nums), min(list_of_nums)\n\telse : \n\t\treturn'"
"write a recursive python function to print the nth fibonacci number, where n is provided as the argument",'\ndef fibonacci_recursive(n) : \n\tif n <= 1 : \n\t\treturn n\n\telse : \n\t\treturn (recur_fibo(n-1) + recur_fibo(n-2))'
write a python function that would read the given input file path and print its contents,"'\ndef read_and_print_file(filepath) : \n\twith open(filepath, ""r"") as infile : \n\t\tprint( infile.read() )'"
write a python program that would print the first n positive integers using a for loop,'\nn = 62\nfor num in range(n) : \n\tprint(num)'
write a python function that returns the input list sorted in ascending order,'\ndef sort_ascending(list_to_be_sorted) : \n\treturn sorted(list_to_be_sorted)'
write a python function that returns the input list sorted in descending order,"'\ndef sort_descending(list_to_be_sorted) : \n\treturn sorted(list_to_be_sorted, reverse=True)'"
"write a python function that would return the sum of first n natural numbers, where n is the input",'\ndef sum_first_n(n) : \n\treturn ( n * (n+1) ) // 2'
"write a recursive python function that would return the sum of first n natural numbers, where n is the input",'\ndef sum_first_n_recursive(n) : \n\tif n == 0 : \n\t\treturn 0\n\treturn sum_first_n_recursive(n-1) + n'
"write a python function that would filter a list of dictionaries where a specified key equals given value, list_of_dictionaries, key and value are inputs to this function.","'\ndef filter_with_key_value(list_of_dicts, key, value) : \n\treturn list( filter( lambda x :  x.get(key) == value, list_of_dicts ) )'"
